area,price,building_status,number_facades,number_bedrooms,kitchen_equipped,furnished,open_fire,zip_code,land_surface,terrace,terrace_surface,swimming_pool,property_type,subtype_property,garden,garden_surface,province,Zone,zone_num,price_per_m2
189.0,559000.0,as new,3.0,4.0,hyper equipped,,,3012,352.0,0,0,,house,villa,0,0,Flemish Brabant,Flanders_zone,3,2957.671957671958
110.0,165000.0,to be done up,4.0,3.0,installed,,,6061,328.0,0,0,,house,house,0,0,Hainaut,Wallonia_zone,2,1500.0
101.0,483000.0,,2.0,2.0,,,,9000,82.0,0,0,,house,house,1,32,East Flanders,Flanders_zone,3,4782.178217821782
259.0,329900.0,as new,,5.0,,,,8380,301.0,0,0,,house,house,0,0,West Flanders,Flanders_zone,3,1273.7451737451738
118.0,255000.0,as new,,4.0,hyper equipped,,,8972,188.0,1,21,,house,house,1,92,West Flanders,Flanders_zone,3,2161.0169491525426
135.0,268000.0,just renovated,2.0,3.0,hyper equipped,,,1480,202.0,1,20,,house,house,1,107,Walloon Brabant,Wallonia_zone,2,1985.1851851851852
124.0,488000.0,good,4.0,2.0,installed,,,1410,708.0,1,1,,house,country,1,500,Walloon Brabant,Wallonia_zone,2,3935.483870967742
148.0,214000.0,good,2.0,3.0,installed,,,2870,120.0,0,0,,house,house,0,0,Antwerp,Flanders_zone,3,1445.945945945946
260.0,825000.0,good,4.0,3.0,installed,,,1380,1966.0,1,15,,house,house,1,1500,Walloon Brabant,Wallonia_zone,2,3173.076923076923
420.0,1290000.0,as new,2.0,7.0,,,1.0,1180,300.0,1,10,,house,house,1,140,Brussel-Capital,Brussels_zone,1,3071.4285714285716
391.0,310000.0,good,2.0,5.0,installed,,,7340,837.0,0,0,,house,house,0,0,Hainaut,Wallonia_zone,2,792.838874680307
178.0,365000.0,good,,4.0,installed,,,1420,155.0,0,0,,house,house,0,0,Walloon Brabant,Wallonia_zone,2,2050.561797752809
88.0,270000.0,,,1.0,,,,9000,106.0,1,18,,house,house,0,0,East Flanders,Flanders_zone,3,3068.181818181818
181.0,390000.0,,2.0,3.0,,,,8710,394.0,0,0,,house,villa,0,0,West Flanders,Flanders_zone,3,2154.696132596685
172.0,175000.0,to renovate,4.0,3.0,not installed,,,6800,1254.0,0,0,,house,house,1,1000,Luxembourg,Wallonia_zone,2,1017.4418604651163
