,ID,area,price,building_status,number_facades,number_bedrooms,kitchen_equipped,furnished,open_fire,zip_code,land_surfaces,terrace,terrace_surface,swimming_pool,property_type,subtype_property,garden,garden_surface
526,592,120.0,45000.0,,2.0,3.0,not installed,,,4430,190.0,0,0,,house,house,0,0
527,593,170.0,375000.0,to renovate,,3.0,not installed,no,,1457,2930.0,0,0,,house,house,0,0
528,595,103.0,235000.0,good,2.0,2.0,semi equipped,no,,4300,347.0,1,16,,house,house,1,287
529,597,163.0,327500.0,to be done up,3.0,3.0,not installed,no,,1420,100.0,1,12,,house,house,0,0
531,599,137.0,387500.0,good,,3.0,installed,no,,1410,460.0,0,0,,house,house,0,0
532,600,106.0,175000.0,to renovate,3.0,2.0,installed,no,2.0,1495,627.0,0,0,,house,house,0,0
533,601,460.0,1699000.0,as new,2.0,7.0,hyper equipped,,,1180,266.0,1,100,,house,house,0,0
534,602,450.0,590000.0,,2.0,5.0,not installed,no,,1653,362.0,1,24,,house,house,0,0
535,603,125.0,80000.0,,3.0,4.0,semi equipped,,,7340,1000.0,0,0,,house,house,0,0
536,604,230.0,499000.0,as new,4.0,4.0,installed,no,,8510,670.0,0,0,,house,house,0,0
537,605,136.0,395000.0,,,3.0,,,,3500,179.0,0,0,,house,house,0,0
538,606,147.0,269000.0,as new,2.0,3.0,installed,no,,8550,415.0,1,45,,house,house,1,156
539,607,112.0,267000.0,,,3.0,,,,8830,290.0,0,0,,house,house,0,0
540,608,210.0,450000.0,,4.0,4.0,,no,,9700,1394.0,0,0,,house,villa,0,0
541,609,130.0,270000.0,just renovated,,2.0,,yes,,8400,97.0,0,0,,house,house,0,0
542,610,175.0,392360.0,,3.0,4.0,,no,,3390,586.0,0,0,,house,house,0,0
543,611,100.0,279000.0,just renovated,3.0,4.0,installed,no,,7000,107.0,0,0,,house,house,0,0
544,612,213.0,518196.0,,,3.0,installed,no,,7181,704.0,1,31,,house,house,0,0
545,613,90.0,165000.0,to renovate,4.0,2.0,not installed,no,,6800,479.0,1,50,,house,bungalow,1,340
546,614,170.0,215000.0,good,3.0,3.0,installed,,,6030,227.0,1,102,,house,house,0,0
547,615,148.0,267000.0,,,4.0,,,,8830,265.0,0,0,,house,house,0,0
548,616,594.0,795000.0,good,4.0,10.0,installed,,,4987,3510.0,0,0,True,house,exceptiona,0,0
550,619,134.0,145000.0,,3.0,3.0,,no,,6060,99.0,0,0,,house,house,0,0
551,620,153.0,149000.0,,2.0,3.0,installed,no,,3700,204.0,0,0,,house,house,0,0
552,621,220.0,545000.0,just renovated,2.0,3.0,usa hyper equipped,no,,1300,341.0,1,34,,house,house,1,260
553,622,167.0,348015.0,,2.0,3.0,,,,1790,219.0,0,0,,house,house,0,0
555,624,185.0,335000.0,good,4.0,3.0,hyper equipped,no,1.0,7110,768.0,0,0,,house,house,0,0
556,625,240.0,475000.0,good,2.0,7.0,installed,no,,1070,167.0,0,0,,house,apartment,0,0
557,627,180.0,195000.0,,3.0,3.0,semi equipped,no,,7973,1100.0,0,0,,house,house,1,1100
558,628,250.0,220000.0,to renovate,4.0,4.0,,no,,6560,2500.0,0,0,,house,house,0,0
559,629,114.0,435000.0,just renovated,3.0,3.0,hyper equipped,no,,1330,394.0,1,25,,house,house,1,394
560,630,117.0,327600.0,,,2.0,installed,no,,9810,306.0,1,33,,house,house,0,0
561,631,171.0,283000.0,,,3.0,,,,3740,321.0,0,0,,house,house,0,0
563,633,277.0,785000.0,just renovated,3.0,4.0,installed,no,,6700,3992.0,1,50,,house,house,1,3300
565,637,153.0,335000.0,,,2.0,installed,,,9960,610.0,0,0,,house,house,0,0
566,638,292.0,749000.0,as new,2.0,4.0,usa hyper equipped,no,1.0,2500,352.0,0,0,True,house,exceptiona,0,0
567,639,273.0,499000.0,just renovated,4.0,5.0,installed,no,1.0,4560,3400.0,1,80,,house,house,1,2500
569,641,528.0,1895000.0,as new,4.0,10.0,installed,no,,1380,5600.0,1,50,True,house,exceptiona,0,0
570,642,300.0,1150000.0,good,4.0,3.0,installed,no,,5070,45000.0,0,0,True,house,exceptiona,1,45000
572,644,76.0,179000.0,to be done up,3.0,1.0,,no,,4040,840.0,1,45,,house,house,0,0
573,645,130.0,345000.0,to be done up,4.0,3.0,installed,no,,1420,591.0,0,0,,house,villa,0,0
574,646,115.0,170000.0,good,2.0,3.0,installed,no,,5190,226.0,0,0,,house,house,0,0
576,648,368.0,5250000.0,as new,4.0,5.0,hyper equipped,,,8300,1143.0,1,74,True,house,villa,0,0
577,649,141.0,320000.0,as new,,3.0,hyper equipped,no,,8470,278.0,0,0,,house,house,0,0
579,651,117.0,294500.0,,3.0,4.0,not installed,no,,4620,350.0,0,0,,house,house,1,183
580,652,121.0,387930.0,as new,3.0,3.0,installed,,,9880,453.0,0,0,,house,house,0,0
581,653,188.0,185000.0,to be done up,2.0,6.0,,yes,,7000,198.0,0,0,,house,apartment,0,0
582,654,130.0,314000.0,as new,2.0,3.0,hyper equipped,no,,8450,140.0,0,0,,house,house,0,0
583,655,172.0,345000.0,good,2.0,3.0,installed,no,,9300,170.0,1,24,,house,house,1,35
585,657,340.0,785000.0,good,3.0,5.0,hyper equipped,,,3080,310.0,0,0,,house,house,0,0
586,658,171.0,529000.0,as new,,3.0,hyper equipped,no,,9860,1242.0,0,0,,house,house,0,0
587,659,193.0,229000.0,good,2.0,3.0,installed,no,,8520,190.0,0,0,,house,house,1,52
589,661,140.0,179900.0,just renovated,2.0,4.0,installed,no,,9600,70.0,0,0,,house,house,0,0
590,662,174.0,1295000.0,as new,4.0,4.0,usa hyper equipped,,,8300,818.0,0,0,,house,villa,1,818
591,663,144.0,294400.0,,3.0,3.0,not installed,no,,1357,554.0,0,0,,house,house,0,0
592,664,181.0,450000.0,as new,,3.0,installed,,,9506,2400.0,0,0,,house,house,0,0
593,665,259.0,603690.0,,4.0,4.0,not installed,no,,6700,735.0,0,0,,house,villa,0,0
594,666,159.0,315000.0,as new,3.0,3.0,hyper equipped,,,7760,502.0,0,0,,house,house,0,0
595,667,201.0,334000.0,,,3.0,usa installed,no,,2250,378.0,1,14,,house,house,0,0
596,668,150.0,190000.0,,3.0,3.0,installed,no,,6010,300.0,1,18,,house,house,0,0
597,669,260.0,750000.0,good,2.0,5.0,,no,,1150,110.0,1,11,,house,house,1,17
599,671,92.0,135000.0,good,2.0,3.0,,no,,5190,600.0,0,0,,house,house,0,0
600,674,55.0,245000.0,,,1.0,,yes,,8550,55.0,0,0,,house,mixed,0,0
601,675,90.0,145000.0,just renovated,2.0,3.0,semi equipped,no,,7700,71.0,1,12,,house,house,0,0
602,676,165.0,399000.0,,4.0,3.0,installed,no,,2960,803.0,0,0,,house,house,0,0
603,677,140.0,269000.0,,3.0,3.0,not installed,no,,4340,542.0,0,0,,house,house,1,450
607,682,540.0,2750000.0,as new,4.0,8.0,usa installed,,,1150,1700.0,0,0,,house,villa,0,0
609,684,408.0,2295000.0,as new,4.0,4.0,usa hyper equipped,no,,1640,1900.0,0,0,True,house,exceptiona,0,0
610,685,146.0,359921.0,as new,2.0,3.0,hyper equipped,,,8540,303.0,1,32,,house,house,1,194
611,686,210.0,199999.0,just renovated,2.0,6.0,installed,,,6040,100.0,1,25,,house,house,0,0
613,688,146.0,343500.0,,,3.0,,no,,9052,161.0,1,15,,house,house,0,0
615,690,372.0,640000.0,,,5.0,not installed,no,,1030,177.0,0,0,,house,apartment,0,0
616,691,250.0,240000.0,to be done up,3.0,4.0,,no,,7970,197.0,0,0,,house,house,0,0
617,692,193.0,210000.0,just renovated,3.0,,semi equipped,no,,7134,320.0,0,0,,house,apartment,0,0
618,693,247.0,625000.0,good,3.0,4.0,semi equipped,no,,9000,84.0,0,0,,house,house,0,0
619,694,102.0,267000.0,as new,2.0,2.0,usa hyper equipped,no,,1601,81.0,1,10,,house,house,1,15
621,696,120.0,439000.0,as new,2.0,3.0,hyper equipped,no,,1190,65.0,1,9,,house,house,0,0
622,697,180.0,810000.0,to renovate,4.0,3.0,not installed,no,,1970,2981.0,0,0,,house,villa,1,2800
623,698,159.0,340000.0,,3.0,4.0,,no,,9050,105.0,0,0,,house,house,0,0
624,700,370.0,1495000.0,as new,2.0,6.0,hyper equipped,no,,1050,165.0,1,85,,house,mansion,1,75
625,701,86.0,280000.0,,2.0,2.0,hyper equipped,no,,8400,156.0,1,19,,house,house,1,47
626,702,150.0,264000.0,as new,,3.0,semi equipped,no,,4020,195.0,1,70,,house,house,0,0
627,703,375.0,1180000.0,as new,4.0,5.0,hyper equipped,,,1410,2000.0,0,0,,house,villa,1,1000
630,706,626.0,2350000.0,,4.0,5.0,,no,,3080,1720.0,1,30,True,house,house,1,30
631,707,280.0,259000.0,to renovate,2.0,4.0,semi equipped,no,,8710,498.0,0,0,,house,mansion,0,0
