,ID,area,price,building_status,number_facades,number_bedrooms,kitchen_equipped,furnished,open_fire,zip_code,land_surfaces,terrace,terrace_surface,swimming_pool,property_type,subtype_property,garden,garden_surface,subtype,Province,Zone,zone_num
3440,3891,185.0,307500,good,3.0,1.0,,,,8820,335.0,1,30,,house,house,0,0,1,West Flanders,Flanders_zone,3
3441,3892,252.0,437939,,3.0,4.0,installed,,,8370,481.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
3442,3893,253.0,850000,good,2.0,6.0,usa hyper equipped,,,1040,162.0,0,0,,house,house,1,80,1,Brussel-Capital,Brussels_zone,1
3443,3894,253.0,370000,,,6.0,,,,1070,159.0,1,17,,house,house,1,67,1,Brussel-Capital,Brussels_zone,1
3444,3895,400.0,1395000,good,4.0,6.0,hyper equipped,,,1640,2700.0,0,0,,house,house,1,2700,1,Flemish Brabant,Flanders_zone,3
3445,3896,207.0,159000,to renovate,2.0,5.0,installed,,,9600,160.0,0,0,,house,house,0,0,1,East Flanders,Flanders_zone,3
3446,3898,638.0,1398000,as new,4.0,5.0,hyper equipped,,,2930,1519.0,0,0,,house,villa,0,0,2,Antwerp,Flanders_zone,3
3448,3900,267.0,310000,to be done up,2.0,5.0,semi equipped,,,7822,920.0,1,25,,house,other,0,0,14,Hainaut,Wallonia_zone,2
3450,3903,300.0,830000,,2.0,4.0,,,,2600,292.0,0,0,,house,exceptiona,1,197,5,Antwerp,Flanders_zone,3
3451,3904,145.0,285000,,,3.0,,,,8900,219.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
3452,3905,110.0,69000,to renovate,2.0,3.0,,,,4500,1295.0,1,35,,house,house,1,1154,1,Liège,Wallonia_zone,2
3453,3906,213.0,469000,to be done up,3.0,4.0,semi equipped,,,2800,74.0,0,0,,house,house,0,0,1,Antwerp,Flanders_zone,3
3454,3907,177.0,339800,as new,3.0,3.0,installed,,,2040,383.0,0,0,,house,house,0,0,1,Antwerp,Flanders_zone,3
3456,3910,175.0,265000,to renovate,3.0,3.0,not installed,,,4020,278.0,0,0,,house,mixed,0,0,3,Liège,Wallonia_zone,2
3457,3911,229.0,375000,good,,2.0,installed,,,8870,342.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
3458,3912,660.0,560000,to renovate,4.0,3.0,semi equipped,,,2830,2200.0,1,60,,house,villa,1,1,2,Antwerp,Flanders_zone,3
3459,3913,780.0,2120000,as new,2.0,6.0,hyper equipped,,,1180,300.0,1,23,,house,exceptiona,1,100,5,Brussel-Capital,Brussels_zone,1
3460,3915,589.0,749000,,2.0,5.0,,,,8850,929.0,0,0,,house,mixed,0,0,3,West Flanders,Flanders_zone,3
3461,3916,184.0,550000,as new,3.0,3.0,hyper equipped,,1.0,6230,3910.0,1,29,,house,house,1,3000,1,Hainaut,Wallonia_zone,2
3462,3917,300.0,720000,just renovated,4.0,3.0,installed,,,7760,2049.0,0,0,,house,country,0,0,7,Hainaut,Wallonia_zone,2
3463,3918,140.0,85000,to restore,3.0,2.0,semi equipped,,,7390,179.0,0,0,,house,house,0,0,1,Hainaut,Wallonia_zone,2
3465,3920,114.0,262264,,3.0,3.0,,,,8790,346.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
3466,3921,200.0,299000,to be done up,3.0,4.0,usa semi equipped,,,3400,613.0,1,20,,house,house,1,355,1,Flemish Brabant,Flanders_zone,3
3468,3924,161.0,329000,to renovate,3.0,4.0,,,,9050,273.0,0,0,,house,house,1,118,1,East Flanders,Flanders_zone,3
3469,3925,175.0,569000,good,,3.0,installed,,,8380,840.0,0,0,,house,villa,0,0,2,West Flanders,Flanders_zone,3
3470,3926,311.0,465000,as new,,4.0,,,,8400,76.0,1,22,,house,mansion,0,0,6,West Flanders,Flanders_zone,3
3471,3927,145.0,298000,good,3.0,3.0,,,1.0,4121,150.0,1,16,,house,house,1,60,1,Liège,Wallonia_zone,2
3472,3928,306.0,585000,as new,,5.0,usa installed,,1.0,7500,185.0,0,0,,house,house,0,0,1,Hainaut,Wallonia_zone,2
3474,3930,120.0,262000,,,3.0,,,,8830,258.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
3475,3932,486.0,2325000,as new,,15.0,,yes,,8300,653.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
3476,3933,129.0,249000,just renovated,3.0,2.0,installed,,,4400,458.0,1,14,,house,house,1,250,1,Liège,Wallonia_zone,2
3478,3935,190.0,460000,as new,4.0,2.0,installed,,,1083,125.0,1,15,,house,house,1,30,1,Brussel-Capital,Brussels_zone,1
3479,3936,126.0,232500,,2.0,3.0,not installed,,,4500,65.0,1,15,,house,house,1,50,1,Liège,Wallonia_zone,2
3480,3937,245.0,385000,just renovated,,4.0,installed,,,3660,1020.0,1,16,,house,house,0,0,1,Limburg,Flanders_zone,3
3481,3938,120.0,239000,as new,3.0,3.0,not installed,,,4257,1000.0,0,0,,house,house,0,0,1,Liège,Wallonia_zone,2
3483,3940,225.0,760000,as new,4.0,4.0,not installed,,,9700,1211.0,0,0,,house,house,0,0,1,East Flanders,Flanders_zone,3
3484,3941,146.0,280000,good,,4.0,,,,9000,65.0,0,0,,house,house,0,0,1,East Flanders,Flanders_zone,3
3486,3943,230.0,435000,good,3.0,3.0,installed,,,1850,375.0,0,0,,house,house,0,0,1,Flemish Brabant,Flanders_zone,3
3487,3944,410.0,1950000,good,3.0,6.0,hyper equipped,,,1150,598.0,1,20,,house,house,1,330,1,Brussel-Capital,Brussels_zone,1
3488,3945,232.0,369000,as new,4.0,4.0,installed,,,6940,1150.0,1,40,,house,house,1,1150,1,Luxembourg,Wallonia_zone,2
3489,3946,450.0,895000,as new,4.0,5.0,usa hyper equipped,,,4550,6200.0,0,0,True,house,exceptiona,1,5000,5,Liège,Wallonia_zone,2
3490,3947,300.0,598000,as new,4.0,4.0,installed,,,8750,2493.0,1,40,,house,villa,0,0,2,West Flanders,Flanders_zone,3
3491,3948,160.0,295000,good,2.0,4.0,installed,,,8790,244.0,1,20,,house,house,1,90,1,West Flanders,Flanders_zone,3
3492,3949,702.0,881000,as new,4.0,8.0,installed,,,6840,1136.0,0,0,,house,exceptiona,0,0,5,Luxembourg,Wallonia_zone,2
3494,3951,100.0,120000,to renovate,2.0,2.0,,yes,,9600,180.0,0,0,,house,house,0,0,1,East Flanders,Flanders_zone,3
3495,3953,157.0,325000,to renovate,3.0,3.0,installed,,,1470,950.0,0,0,,house,house,0,0,1,Walloon Brabant,Wallonia_zone,2
3496,3954,215.0,245000,,,4.0,,,,8920,722.0,0,0,,house,house,0,0,1,West Flanders,Flanders_zone,3
3497,3955,150.0,675000,good,2.0,3.0,installed,,,1150,295.0,0,0,,house,house,1,135,1,Brussel-Capital,Brussels_zone,1
3498,3956,203.0,285000,just renovated,2.0,4.0,installed,,,9500,133.0,0,0,,house,house,1,40,1,East Flanders,Flanders_zone,3
3499,3957,140.0,295000,,4.0,3.0,,,,4253,825.0,0,0,,house,house,0,0,1,Liège,Wallonia_zone,2
3500,3958,210.0,675000,to be done up,2.0,4.0,not installed,,,1090,355.0,0,0,,house,apartment,1,60,4,Brussel-Capital,Brussels_zone,1
3501,3959,198.0,349000,good,3.0,4.0,installed,,,4500,518.0,0,0,,house,house,0,0,1,Liège,Wallonia_zone,2
3502,3961,180.0,359000,just renovated,2.0,4.0,,,,2930,152.0,1,1,,house,mansion,0,0,6,Antwerp,Flanders_zone,3
3503,3962,528.0,1895000,good,4.0,7.0,,,1.0,1380,5600.0,0,0,True,house,villa,0,0,2,Walloon Brabant,Wallonia_zone,2
3504,3963,182.0,195000,good,3.0,3.0,installed,,,6031,240.0,0,0,,house,house,1,145,1,Hainaut,Wallonia_zone,2
3505,3965,270.0,395000,to renovate,2.0,5.0,,,,1210,80.0,0,0,,house,house,1,5,1,Brussel-Capital,Brussels_zone,1
3507,3967,376.0,675000,good,,5.0,,,1.0,3110,1761.0,1,25,True,house,villa,1,1000,2,Flemish Brabant,Flanders_zone,3
3508,3968,804.0,1300000,good,2.0,9.0,usa installed,,,1210,348.0,1,21,,house,apartment,0,0,4,Brussel-Capital,Brussels_zone,1
3509,3969,182.0,345000,,3.0,3.0,,,1.0,5522,232.0,0,0,,house,house,0,0,1,Namur,Wallonia_zone,2
3510,3970,245.0,385000,to renovate,4.0,5.0,,,,7863,15000.0,0,0,,house,house,0,0,1,Hainaut,Wallonia_zone,2
